Gene,GSM1213669,GSM1213670,GSM1213671,GSM1213672,GSM1213673,GSM1213674,GSM1213675,GSM1213676,GSM1213677,GSM1213678,GSM1213679,GSM1213680,GSM1213681,GSM1213682,GSM1213683,GSM1213684,GSM1213685,GSM1213686,GSM1213687,GSM1213688,GSM1213689,GSM1213690,GSM1213691,GSM1213692,GSM1213693,GSM1213694,GSM1213695,GSM1213696,GSM1213697,GSM1213698,GSM1213699,GSM1213700,GSM1213701,GSM1213702,GSM1213703,GSM1213704,GSM1213705,GSM1213706,GSM1213707,GSM1213708,GSM1213709,GSM1213710,GSM1213711,GSM1213712,GSM1213713,GSM1213714,GSM1213715,GSM1213716,GSM1213717,GSM1213718,GSM1213719,GSM1213720,GSM1213721,GSM1213722,GSM1213723,GSM1213724,GSM1213725,GSM1213726,GSM1213727,GSM1213728,GSM1213729,GSM1213730,GSM1213731,GSM1213732,GSM1213733,GSM1213734,GSM1213735,GSM1213736,GSM1213737,GSM1213738,GSM1213739,GSM1213740,GSM1213741,GSM1213742,GSM1213743,GSM1213744,GSM1213745,GSM1213746,GSM1213747,GSM1213748,GSM1213749,GSM1213750,GSM1213751,GSM1213752,GSM1213753,GSM1213754,GSM1213755,GSM1213756,GSM1213757,GSM1213758,GSM1213759,GSM1213760,GSM1213761,GSM1213762,GSM1213763,GSM1213764,GSM1213765,GSM1213766,GSM1213767,GSM1213768,GSM1213769,GSM1213770,GSM1213771,GSM1213772,GSM1213773,GSM1213774,GSM1213775,GSM1213776,GSM1213777,GSM1213778,GSM1213779,GSM1213780,GSM1213781,GSM1213782,GSM1213783,GSM1213784,GSM1213785,GSM1213786,GSM1213787,GSM1213788,GSM1213789,GSM1213790,GSM1213791,GSM1213792,GSM1213793,GSM1213794,GSM1213795,GSM1213796,GSM1213797,GSM1213798,GSM1213799,GSM1213800,GSM1213801,GSM1213802,GSM1213803,GSM1213804,GSM1213805,GSM1213806,GSM1213807,GSM1213808,GSM1213809,GSM1213810,GSM1213811,GSM1213812,GSM1213813,GSM1213814,GSM1213815,GSM1213816,GSM1213817,GSM1213818,GSM1213819,GSM1213820,GSM1213821,GSM1213822,GSM1213823,GSM1213824,GSM1213825,GSM1213826,GSM1213827,GSM1213828,GSM1213829,GSM1213830,GSM1213831,GSM1213832,GSM1213833,GSM1213834,GSM1213835,GSM1213836,GSM1213837,GSM1213838,GSM1213839,GSM1213840,GSM1213841,GSM1213842,GSM1213843,GSM1213844,GSM1213845,GSM1213846,GSM1213847,GSM1213848,GSM1213849
KRT6A,12.7485845,7.60068156,2.522233869,3.447513053,5.289046128,12.48423993,12.48750139,3.166681725,12.31065936,7.2235322,3.340602905,5.188589984,5.497799966,5.456034422,4.330668109,8.989409218,5.534608635,3.46364233,7.799542333,2.544334781,2.592018576,2.424752917,3.081426097,2.867159823,2.713540685,2.484719315,10.70877773,3.132612107,4.217230428,10.80257774,2.961383473,3.37233606,12.4980495,3.029444797,5.125031461,2.992244073,13.62585931,12.68917147,5.744232242,13.86998132,12.30042317,11.03416864,13.27702819,12.60334417,13.56187759,12.35158941,10.66984944,12.97370723,11.98437357,11.05010966,5.356473281,5.061587494,12.05118817,9.525187467,3.591735564,2.843320786,10.73456167,2.770392377,3.962161695,3.21986225,12.45037893,9.380331227,13.56040555,12.46017157,9.530144721,6.374684067,9.510471113,11.24026756,6.079158185,8.459924102,3.471292106,5.584518453,2.321968864,2.768804383,3.234190948,11.87774692,5.311730872,2.918090435,2.869373785,12.45669351,7.421421151,3.353134542,3.441032772,2.701989997,2.93815947,3.896651841,13.4931287,4.177075289,11.04949751,6.680733343,3.090660925,4.251944387,2.826943276,3.382669103,3.260295208,4.213808979,6.33630557,12.85620664,12.42736556,5.445834428,3.331171264,7.133787857,13.63200753,10.28271938,6.081608697,7.824623561,2.912462342,2.610124704,3.293181959,12.56762968,3.424729287,2.920451875,3.712509349,2.578815403,8.36468762,3.245299205,4.218733355,11.3150555,3.672444998,5.799958029,13.02543206,12.09916864,12.13007546,7.762460371,2.703730129,3.369024559,2.971909868,12.32077201,3.572436066,5.369407085,2.615179791,7.955715208,3.690791457,12.28793327,5.999399591,5.251127633,10.00218911,7.868996855,2.793528651,2.41033611,3.940732658,2.580208709,2.643609328,12.37492925,13.37746357,7.753171124,13.64575943,7.543491541,4.302802491,5.824195237,12.46280314,8.541444588,7.610102921,11.12920513,5.279512339,3.062760898,3.197397901,11.06093167,3.145593221,8.931156742,13.04416237,12.54473809,10.65600798,11.33527133,4.86142115,9.058263999,6.114505017,3.701677388,12.34393303,2.641522092,12.60596646,2.805135649,13.20512703,10.42247713,12.36505203,7.767331547,5.447798843,9.245193448,2.882688532,12.44678649,10.50059903
SPRR1B,9.03151585,9.58380132,3.511167557,8.656000326,3.540975965,11.03231588,11.89494838,3.646790915,10.07883977,3.44524473,8.063053019,3.642215986,4.604894467,12.32729869,3.740399705,3.377871633,5.550990967,4.497906489,3.016119821,10.20100095,3.115053058,3.708776924,2.828690773,3.059200954,3.093339359,2.915164343,7.532880102,2.802117875,3.059190891,4.036176071,2.974190368,7.544181003,8.992292219,2.84256404,3.160684866,9.223363621,7.329247753,7.394706308,4.404255503,12.87168849,10.32276918,4.864606445,10.68952405,8.479668918,8.983809053,11.07520809,8.383115825,11.84915918,10.16899555,5.498501712,3.473584721,3.235366275,4.028840608,4.683766198,7.620774851,2.945887209,10.15522828,3.166913044,8.799258431,5.09759472,10.63546871,8.632457197,11.97697121,4.029716002,11.61685006,3.359495533,3.132056416,2.833530626,3.716399447,4.671617859,5.889779383,4.097988183,2.843911417,10.39991336,2.911104158,8.59139499,10.80411866,9.585581519,2.824969994,13.0650045,5.005239765,3.23409308,9.737486088,3.215788678,2.741736522,5.275157749,2.831201302,3.181680865,6.041479436,2.865531287,6.446074283,3.414495865,3.092278839,3.366853643,2.977807137,3.799159236,4.543811406,12.6360578,11.97043017,4.193402438,5.059952553,3.087357839,11.97545058,7.631828055,2.998530119,6.202034876,3.311459118,2.866733167,3.161271634,11.88638345,4.498542453,5.437735455,6.359190614,3.810305822,3.481004085,3.282517685,3.15525678,8.134986499,2.576625121,3.283725421,11.10020013,10.24694515,9.467979,9.768390491,2.875648325,3.246421535,2.891648782,9.729995473,2.888817905,2.917712305,3.169415872,7.803699228,7.358734187,8.624872777,9.885217272,6.204664059,2.942989362,9.044127187,3.198103985,2.847833702,5.951883033,2.814419099,7.494724567,10.04844121,9.396779903,9.93314573,12.30669709,10.16011352,3.233738359,3.916786302,12.73165949,8.03884426,9.683711995,3.193558589,3.554648531,2.821713114,3.421802638,7.096303192,3.539900356,7.412384317,10.73182769,12.40946855,5.20761687,7.187578086,2.76051438,11.34153074,4.167629906,3.193256084,9.162958275,3.083531997,10.80233383,3.202790944,13.70560024,8.037607352,9.32918446,10.08906049,9.008952252,10.95226901,4.466388721,9.148314036,8.220998029
SCGB1A1,11.27070438,6.439258785,11.90847175,3.578829694,3.733639253,6.615157389,6.551805696,4.529207822,3.324226973,9.495580623,13.43611044,8.497793848,4.801885549,4.623137516,11.53654402,3.259840284,5.497348801,4.034819285,12.82503507,12.4192144,7.412354087,4.442110079,3.513415248,5.579922603,4.705186647,3.412848245,3.634943449,12.61519076,11.19137224,3.802736095,12.1577783,8.790701582,10.06578615,7.355545315,11.83143053,4.990658714,4.560104567,4.377535411,11.20894506,3.684287537,7.30683811,4.144160825,4.921785677,6.895321721,10.57367291,12.71786354,4.404073379,6.373412171,9.696306494,7.706927527,3.950621653,7.273242614,4.581177474,6.070573584,6.453546261,4.19961115,9.988720115,8.656088631,6.61818064,9.649699624,6.154790616,11.10680201,9.971542707,9.533987321,11.84802346,11.8135502,5.99497163,4.031250149,12.64318139,11.01969786,3.863853136,7.172193706,12.61287445,10.60041537,3.573473029,4.023572846,9.586380353,12.26829885,8.021069893,6.956702621,11.3255558,4.020771472,11.89462241,12.40739052,5.119183107,3.581716589,7.757694904,6.779388342,13.24146523,13.62169546,5.439699026,4.162545375,12.40425705,3.878046303,8.241711007,7.893845449,3.868723106,6.592011784,11.18888924,10.11078905,12.27109322,9.778468052,6.316611408,4.424214475,8.590363654,6.996267201,3.352274849,6.502966265,3.458703514,7.5589368,10.53562811,3.436888216,3.790864637,5.113259574,8.493958559,12.8892691,8.314240379,10.34456189,6.192100644,4.009898229,8.387819349,7.76717275,12.01114291,9.679390941,5.562954992,8.599330311,13.578077,4.04236208,10.51812325,6.952744785,5.688223532,7.937765371,3.251773359,3.368361074,10.54849643,3.719472714,3.980361531,3.340582655,4.512932317,3.907296753,5.391730511,5.400069271,8.034483726,10.24533434,3.483480144,11.55499516,10.84215779,7.332140287,5.538219489,12.07419261,9.303949933,5.657443252,3.356691381,4.412568903,3.2216264,3.478645302,13.04729894,12.07577437,5.989298169,4.740919825,3.374906309,3.170310478,7.892379432,3.395856143,4.56368389,6.426181159,4.009800649,3.976266299,4.393279966,12.0979981,5.609840384,5.13355634,4.100376906,9.786214331,4.064680446,4.383851689,5.836539654,11.42746983,8.748188236,8.060044629,9.608806207
RPS4Y1,11.41461742,4.690488233,11.78896534,4.540653751,10.69904728,11.72116564,5.859752689,8.783655605,4.480617297,4.657880215,11.97467729,4.65847085,5.073005028,4.511657824,11.47671712,4.436272339,12.89225839,11.30323936,11.49785866,12.70311929,5.126536515,4.081879621,12.01330853,5.225291463,4.584314718,6.188859925,5.357918728,12.24808758,11.45889143,4.862688266,10.85282692,4.825135654,11.58368975,9.368643231,4.036528737,11.05262314,9.254665271,11.51199115,4.624194704,9.687831729,4.726991026,10.45296673,5.259673777,4.474615932,11.76469244,9.430164051,5.415401686,9.87908151,11.3575925,9.508358924,11.09528111,9.898627955,9.423463732,5.790656993,10.2466673,8.80428426,5.16479411,4.862939269,11.80615276,10.42720056,11.51918996,10.73008859,10.67781449,9.226993331,11.47801727,4.66954332,5.040208748,4.665580844,5.333857238,12.14442794,5.394041262,5.165475535,11.73200545,10.11946195,5.269677853,12.04878731,10.72585773,10.34526124,4.39413831,4.802635224,11.50677121,11.70950513,4.681513188,10.00763661,4.498542453,10.94346076,11.57556443,11.6506543,10.42049348,11.93042283,10.9503908,5.902843608,5.120181987,4.710502836,4.114871709,4.677250677,12.57485221,9.71099645,11.13627201,11.14445297,4.803107645,11.50836359,4.624445963,11.59993829,4.892190327,11.59411397,11.95857585,4.60765968,9.982173271,4.478988975,4.027680513,11.80626947,11.05630064,11.69533861,5.930372668,10.88148673,10.70406429,5.928361845,4.857700643,10.83657663,11.92044892,4.804729921,4.513518654,4.465186864,4.585606326,4.5027704,4.639944432,11.55470683,11.28471816,11.86595135,5.113490282,5.876241449,10.25233598,4.423215097,10.33220153,4.667206139,11.22669475,11.89243732,10.249069,4.811468163,5.198092924,4.313337513,10.74121174,4.684992802,8.549300279,4.03191293,12.96444028,11.58604805,5.100533162,6.082985185,11.85396332,4.885494582,5.0570746,4.656670841,11.54685904,9.356856346,4.78030104,11.51163212,8.709789547,11.77790913,9.766794835,11.26520016,4.07143187,10.49423227,5.269082853,5.107017731,11.60458456,5.748416024,12.43392282,4.515500857,9.588374301,11.37695635,9.22948286,4.401298201,12.26368843,10.49078306,6.078062517,4.740944154,4.497662179,4.368025278,4.180693131
SPINK1,5.69819607,11.90470592,9.032239956,7.741032252,7.089012347,4.17088595,3.323414936,3.509904778,3.562706571,12.2951832,12.37601213,5.951128511,11.63992897,11.08181988,10.39456442,4.73942942,9.3236498,13.29542407,8.340831679,12.55332288,12.02321314,12.93787523,10.82114675,4.087161609,8.908922807,12.55568856,6.78453654,7.986949599,12.1090574,3.911756384,11.89153491,9.244870817,6.189286595,4.886727916,9.790955427,13.61965,6.134331292,5.92044716,6.971766456,5.025962077,4.01793206,7.305085809,5.245936491,5.106265371,3.731328955,6.476342691,4.680654315,4.230984686,8.39071794,4.023194389,12.43016482,10.48356939,4.053404111,4.168774749,3.831260895,11.76392468,8.058962032,11.28603907,12.38968494,6.095009595,5.084491209,11.32521167,5.198416744,4.832161706,4.785177487,11.50394413,6.286732956,11.90909557,5.048230029,10.77895273,4.165756466,13.30785361,12.59221816,6.122937197,4.078801468,4.338585084,6.390557018,12.96063061,12.52226702,7.71829656,12.48028146,5.326451016,11.32747828,12.17330544,4.947890396,7.572687821,4.170589688,4.573041782,5.859293446,4.448704998,11.56315302,6.132952811,13.68472747,6.731469537,11.88096918,9.65763186,4.05566227,5.004935535,7.736179909,4.801294374,11.89648019,9.183930158,5.127839041,6.142800571,10.02356485,6.31654454,4.874353892,4.087661917,10.9647762,4.819617234,10.06265095,10.5584633,5.765450594,13.28435415,10.07683457,13.40582665,6.882625111,4.723191699,11.59071811,10.55016572,5.383193622,5.072936205,4.470564821,9.73681926,7.060529935,10.70538416,10.30455219,5.05889804,11.87844029,6.208610843,3.662629424,6.720400648,4.093392435,5.174764473,9.630429427,7.015790306,5.203340991,8.486465651,4.930354693,6.850115422,12.69892889,3.968701808,6.791789313,6.410533519,4.329890349,11.02180797,5.92513388,7.512897219,7.584493742,10.76759657,4.729707805,12.87643048,12.39301416,7.158808978,4.716845238,3.550566678,4.807768393,10.87481942,4.645955742,13.23761983,4.056486679,3.440548492,9.093970942,6.04906451,12.79696459,11.44993756,4.418870499,6.975128906,5.338664634,5.479978076,5.798521157,4.68085371,7.370971137,11.07224215,5.451754605,9.895093421,7.162684481,7.385928552,6.839303159,6.01538968,11.15756566
KRT5,13.06845499,5.109553211,5.877005561,5.057418217,4.838467059,12.10949304,13.29104988,5.256679738,12.66399672,5.377654316,7.09460454,4.583486363,4.361773866,4.860631674,6.753691703,10.8454515,4.543006971,4.763935954,6.127367621,5.235780946,4.826176988,4.88275644,4.727583636,4.588147811,4.659306525,4.895888955,5.037879129,7.590759942,6.833569618,6.647310473,5.166372295,6.15295518,12.24534515,4.74277717,5.630881506,4.670170834,12.66858854,12.03567193,6.126485752,12.52579761,12.23292186,5.877029857,12.94445581,12.73568677,12.839036,12.11794956,11.67438266,13.21056127,6.618885822,12.79016948,5.993504887,5.131965844,8.86278762,10.8600267,4.699377329,4.29200467,6.043862804,5.524417437,4.791020823,4.46776442,12.35387188,6.621982404,12.09452823,12.58219223,8.582522095,5.8166175,5.432903544,4.557526739,6.396953753,5.038778562,4.408948026,5.905935733,6.94324336,4.904075219,5.107352469,8.839308614,5.814770161,5.769887005,5.240920702,12.20155531,6.84035756,5.157793139,5.236353058,5.315719566,3.876797586,4.652269209,12.75297818,5.050965982,6.503963836,7.414449967,5.312610376,4.781040056,7.495102447,5.240152759,5.195722685,5.866859515,6.499304266,13.06563875,12.20430789,6.019166828,6.620507319,4.945509715,12.85427292,11.2447536,5.879598672,8.274031739,4.677198858,4.110149636,4.244095764,12.18716243,5.597301449,4.247157021,5.344093447,4.652269209,4.900360453,6.090553686,5.096416897,12.05940956,5.092679959,4.521020216,12.35479402,11.89721471,12.01934543,5.728799113,3.980660969,4.989861897,5.943780244,12.29001603,4.786754113,4.557831572,4.025078845,7.023184932,4.944836245,7.156281616,4.968437747,4.844669057,7.282889129,4.483366761,4.816235,4.250490313,4.658481987,4.583063389,3.793666941,11.69581566,12.98900693,4.960046865,13.48292719,5.258078986,5.124826915,6.665029886,12.94641352,4.840450481,4.546244907,12.0386242,5.797105736,4.419755512,6.273194944,7.124589631,4.752356333,5.127993897,12.54085194,12.53358924,4.928292757,9.848069182,4.892942656,4.476423526,5.335545374,4.717096089,12.1509448,6.367553661,10.18160602,4.594453282,12.96410988,4.887893226,12.07763718,5.488179233,6.041204346,5.422362398,4.815092878,11.78565651,4.62660686
AKR1B10,8.671221797,4.043357024,3.242930386,3.998172667,4.227088384,8.765539048,12.75344507,4.128189262,9.413624655,4.566776207,8.103910874,4.628950404,7.427834379,3.366099404,3.66892813,3.866792268,6.572361993,3.899531784,4.016292392,3.882008413,3.994356559,4.131774767,5.632179797,5.536121579,4.00156548,5.550774173,4.947035548,3.800617024,9.999582767,5.756274296,4.095350553,5.086018581,11.62289936,4.847541513,5.189003584,5.126425301,13.17988347,8.613548721,5.94664155,12.80103047,12.50802218,11.64655343,11.73443435,8.310080745,5.295177719,11.34494383,5.103342823,10.53835815,9.653679188,9.120600892,4.749955942,4.417085895,3.977106015,4.106820994,3.790377805,3.398136291,6.680267562,3.888694132,4.034473289,4.3434059,12.29707601,4.782159312,13.24774727,12.92231164,4.46392685,10.44458626,5.054836186,4.345874113,4.151442576,8.540304603,4.232275889,4.133271255,3.775007382,4.317337379,4.15460435,11.05256412,6.228733862,4.010988616,4.025955997,5.68791864,9.187776453,3.800617024,4.029235773,4.657017279,6.845971877,3.863750762,11.90372179,4.556921733,10.6259093,4.030592072,10.76990714,3.788519403,4.029588579,4.363891653,3.493812459,5.630189474,9.745561657,5.669192153,8.641926793,4.147995564,3.727613912,8.256155622,9.700542776,4.879299687,10.70703006,5.170001196,3.624763352,5.574838518,4.880291109,7.668994783,3.468354067,6.150444515,3.9823055,3.661249765,12.7044556,4.824459583,4.131563253,7.61848563,4.01719511,4.005419148,7.876896263,8.319159105,9.598145224,8.609147457,3.701107691,3.431676507,4.033689413,11.59838304,4.140065771,8.800244983,4.359067481,4.593883155,4.6750865,12.65295799,5.069716331,6.070097807,11.24100883,7.388667486,12.92173577,4.106436941,5.117274535,8.127861707,3.394498089,10.35693215,12.09787695,8.289652315,12.25160002,6.565569773,6.467860683,4.668467987,11.09723172,3.972298531,12.85828525,5.487746461,4.038199347,12.34011395,4.304016286,11.73401015,13.27086537,6.47083786,9.510689966,12.73203818,3.667580937,4.70158563,4.18557364,4.226523032,12.06140402,6.006503886,11.26394155,3.656101757,10.9362706,3.938654047,9.823851771,4.025384184,11.27823463,6.527278364,4.439074908,3.791439909,3.479066716,8.645672345,4.437959425
SCGB3A2,10.55513721,9.404909684,14.12734097,6.665651279,4.336003354,5.258381577,4.159949434,3.764069713,3.537801554,7.395718217,11.30318587,10.71574148,12.42480586,9.087405909,12.26164279,3.491669096,13.55409255,9.529114297,14.08160316,11.25532155,11.93123084,13.90805823,6.526231418,9.633398592,10.5464834,7.597323882,7.118915969,10.880498,12.42134833,4.205867166,13.01743777,6.585086044,10.54969711,8.058630174,11.68059999,9.22377722,4.719480138,5.775558849,9.270124202,4.177527874,11.62559005,7.939344772,8.322031718,10.73608382,9.903169773,9.888857968,5.191061716,8.319304595,10.47505621,5.513516445,4.858466352,9.403676698,9.922558196,7.129723874,4.452058131,14.43496551,10.02238031,12.0178257,12.29635759,7.86095537,6.511001328,10.35332533,7.210319881,10.19376971,8.731093387,10.47659389,6.218986096,3.837100072,7.838798112,13.91967627,10.29682011,8.571261778,10.07594221,9.935479495,13.24963143,5.428604022,9.990307561,13.5301742,7.12811669,12.07576608,8.152317371,5.713322188,13.81196209,12.55614651,7.380228987,4.287949913,9.661713344,12.72730694,8.859611311,10.48228355,11.93211859,7.869009829,12.06273508,8.24051942,10.88993687,4.47430145,4.413811569,5.223746107,10.91737818,8.585602497,7.856450932,7.105653448,10.09687728,8.286900502,10.48856829,3.595149969,7.208773794,9.155773368,6.84872271,10.03575616,12.67450338,8.578994252,6.02815519,13.94476212,7.423852762,8.462401362,8.114227697,7.187828413,6.602682281,3.505084387,7.815974905,10.31611929,8.051078561,11.7129556,6.842407274,14.01012925,12.40711185,4.946937229,14.1279795,9.177054662,5.974257355,5.93437216,3.785659119,4.734597461,8.970361249,5.829948089,3.463633362,4.523410601,4.611012365,14.39594077,13.95733816,12.01368445,10.07645631,5.474572522,3.724278905,10.16779709,10.99237399,5.899415104,7.611467793,11.63771835,6.328349617,10.86438475,9.611076571,10.6526986,3.639348428,10.16338825,10.57609541,9.751310829,8.934321025,9.330145069,3.758916949,8.717884853,13.76446055,9.028339447,10.6268033,8.614791983,3.864218339,7.350564962,4.021313956,12.15747724,7.646068893,7.208221175,3.88730357,11.31332757,4.089770915,6.736331565,6.554927512,11.3298305,13.33803883,9.237670109,11.02526699
SFTA2,6.287725594,10.93894582,11.8848845,11.06552696,3.087072251,3.487675171,2.752531762,7.95893591,3.827371638,11.05549882,8.625510657,9.464260993,11.85467663,10.50213985,12.10786171,2.957468567,11.58145056,11.1876664,11.66975529,11.30754825,11.36722721,12.06071143,9.78063409,11.7520584,11.22801037,10.75477773,7.140091125,11.95862774,11.53546509,2.981655034,11.84817766,10.86757869,8.737937822,5.947810731,11.26338456,11.8226038,4.078238841,3.43177553,11.09065831,3.129911243,7.183431536,7.574567902,4.406519079,7.347544407,7.889547075,6.938705922,3.70121605,6.485137712,11.46933632,3.326720076,11.15547585,11.39643754,7.994635388,5.803272054,9.838487666,10.76690078,9.802659945,11.64744498,11.38639537,10.86486345,4.056706478,10.49014153,3.358596183,6.548177263,8.958034832,10.3218081,4.26748685,10.19162473,6.850096266,11.24822149,11.41471058,10.96070936,10.81018651,9.495602902,12.09919541,4.276155257,11.06158164,10.6469242,11.67644142,9.000835974,9.310955436,10.92130295,11.26423246,11.55116133,11.88718191,11.11252396,5.900508533,11.27328886,10.06854407,8.463368139,11.9870769,11.1995547,12.083294,8.52352481,7.501766702,9.985934791,2.677521985,4.34667245,7.745018625,9.799982557,10.93203804,8.987037422,7.643982575,8.107380324,10.60322159,9.098378081,3.842478966,5.727000489,5.545213707,7.457418884,11.02731095,10.93729172,8.344025242,12.03426924,10.12487282,11.54975043,7.450432933,7.695923543,10.0973881,11.3929943,5.030044149,9.057021251,9.410093521,11.77700787,4.688825695,11.38964252,11.51436499,2.566755015,11.26895269,9.619126677,7.448141523,10.22557101,9.27368333,2.794960649,9.501887976,10.80349494,7.484568207,9.564915227,6.454785396,11.89294587,11.44979856,11.27541405,10.69993531,6.947287519,3.011873854,10.3268744,8.451458515,11.73852888,10.27366274,11.87157296,4.355972675,11.8100565,11.19550817,9.937236746,3.156470169,7.993177809,12.27049476,9.64960952,7.570870697,12.17039716,4.511733039,7.102477925,12.38514495,2.585468867,10.76113164,9.529524128,3.308107018,11.14880457,2.716802316,12.31048068,4.597815677,5.290553935,2.663336673,10.28563986,2.534272297,10.54256549,10.82904455,10.76242101,11.83955519,8.307917291,10.21430187
MAGEA6,10.45384257,2.759816197,2.745478845,2.770398637,10.34569743,8.034155434,5.216662441,2.754832032,4.291348079,3.433753498,2.657393347,2.738829148,2.772505827,2.717422873,2.814488857,3.624886185,2.721127395,2.985809213,2.493797392,2.57331158,2.547254657,2.830055791,11.33856899,3.451707541,3.007046244,4.500245121,2.794115618,4.929863153,8.024464079,3.771354404,2.902771111,2.766686075,9.144673123,11.82603053,3.545045529,3.369746187,3.209045622,3.284164342,3.23078162,9.354643623,2.702160923,3.012617721,2.8277673,4.711158621,11.48823739,3.310216448,4.847736833,7.57225199,3.079802047,11.74167201,3.371222758,2.975428825,3.175104203,3.031752484,2.782089787,2.907462579,5.300750597,3.082174042,2.887732918,6.180937046,11.54225153,3.218479433,3.126466489,2.829352496,3.091426126,4.492654616,3.006836986,9.062211792,2.875651616,3.029421928,4.395906588,4.017680099,2.586056316,2.770854348,2.908552912,3.139630812,2.813094512,3.158720388,2.926604335,9.999802309,3.041518592,2.798701138,2.9102464,2.776581346,3.164165251,9.423024286,11.69448782,2.99886339,2.837036435,2.93686957,2.878724771,2.667281969,2.797433444,7.170536317,8.484941009,7.639477667,5.610911087,6.821353704,5.265145192,8.237870156,2.822376043,8.804231155,7.428144707,3.215855133,2.763190868,3.100844823,2.74958061,3.091402927,11.99683051,10.87509997,3.459347379,3.863880878,3.101138934,2.884414364,2.96772708,3.265460801,3.227439872,3.343133448,9.567153937,3.017138059,9.135910298,3.126889477,6.94479335,2.85738596,2.523799653,3.129386989,2.721161907,9.84636889,2.817122669,2.892395485,5.610046692,3.150837555,2.883995038,10.4902433,2.810057405,2.884450237,2.872684737,6.995934259,10.88566882,3.216810006,2.936642761,2.634290415,2.5007995,11.36175129,2.979817934,2.865304615,10.31892773,8.314111472,2.781528013,2.549283434,3.633370981,3.145747875,10.52213435,2.74521855,11.53482997,3.233738359,3.105706599,3.22509178,2.988029773,10.32151294,3.003172833,10.70675486,2.533995222,10.73895426,2.757736315,3.287215534,3.238013715,2.789683502,11.63659631,2.831659199,4.036255383,12.02547697,6.854065887,3.483047799,11.55084926,2.680494027,2.987581239,2.62395661,3.071402637,6.559736713,2.655263252
